tstim (s)	Ithr (A)
1e-06	nan
2.06913808111479e-06	nan
4.281332398719396e-06	nan
8.858667904100832e-06	nan
1.8329807108324375e-05	nan
3.792690190732254e-05	nan
7.847599703514606e-05	nan
0.0001623776739188721	nan
0.0003359818286283781	-0.05361078745377761
0.0006951927961775605	-0.02621300933513436
0.0014384498882876629	-0.01310650466756718
0.002976351441631316	-0.006775396480691508
0.00615848211066026	-0.003720914460707632
0.012742749857031322	-0.002258465493563836
0.026366508987303555	-0.001582777046718918
0.05455594781168514	-0.0012912128539022752
0.11288378916846883	-0.001194024789630061
0.23357214690901212	-0.0011570007651454078
0.4832930238571752	-0.0011570007651454078
1.0	-0.0011477447590242445
