t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	nan
2.8942661247167517e-05	496437.5
3.455107294592218e-05	310750.0
4.124626382901348e-05	209468.75
4.9238826317067415e-05	154593.75
5.878016072274912e-05	125687.5
7.017038286703837e-05	110468.75
8.376776400682924e-05	103125.0
0.0001	97812.5
0.00011937766417144369	93687.5
0.00014251026703029993	91125.0
0.00017012542798525892	89562.5
0.0002030917620904735	88562.5
0.00024244620170823283	87843.75
0.0002894266124716752	87375.0
0.0003455107294592218	87062.5
0.0004124626382901352	86812.5
0.0004923882631706741	86625.0
0.0005878016072274912	86500.0
0.000701703828670383	86437.5
0.0008376776400682924	86375.0
0.001	86343.75
0.001193776641714437	86312.5
0.0014251026703029992	86312.5
0.0017012542798525892	86312.5
0.002030917620904737	86312.5
0.0024244620170823282	86250.0
0.0028942661247167516	86250.0
0.003455107294592222	86250.0
0.004124626382901352	86250.0
0.004923882631706742	86250.0
0.0058780160722749115	86250.0
0.00701703828670383	86250.0
0.008376776400682925	86250.0
0.01	86250.0
