t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	nan
2.8942661247167517e-05	nan
3.455107294592218e-05	392125.0
4.124626382901348e-05	265062.5
4.9238826317067415e-05	186687.5
5.878016072274912e-05	145937.5
7.017038286703837e-05	124093.75
8.376776400682924e-05	111937.5
0.0001	105093.75
0.00011937766417144369	101312.5
0.00014251026703029993	97250.0
0.00017012542798525892	94562.5
0.0002030917620904735	92718.75
0.00024244620170823283	91437.5
0.0002894266124716752	90562.5
0.0003455107294592218	89843.75
0.0004124626382901352	89375.0
0.0004923882631706741	89000.0
0.0005878016072274912	88750.0
0.000701703828670383	88562.5
0.0008376776400682924	88437.5
0.001	88343.75
0.001193776641714437	88312.5
0.0014251026703029992	88250.0
0.0017012542798525892	88218.75
0.002030917620904737	88187.5
0.0024244620170823282	88187.5
0.0028942661247167516	88187.5
0.003455107294592222	88187.5
0.004124626382901352	88187.5
0.004923882631706742	88187.5
0.0058780160722749115	88187.5
0.00701703828670383	88187.5
0.008376776400682925	88187.5
0.01	88187.5
