t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	428168.49847381987
2.8942661247167517e-05	313555.10162625473
3.455107294592218e-05	237755.3532175764
4.124626382901348e-05	190195.57996230348
4.9238826317067415e-05	159758.19534010463
5.878016072274912e-05	140329.61459126716
7.017038286703837e-05	127667.31448396211
8.376776400682924e-05	122141.15601788742
0.0001	113264.49202513752
0.00011937766417144369	104409.5845617816
0.00014251026703029993	102212.17509298807
0.00017012542798525892	98491.80856661497
0.0002030917620904735	95206.57262812172
0.00024244620170823283	93030.91968872225
0.0002894266124716752	91551.47568993058
0.0003455107294592218	90507.16227901884
0.0004124626382901352	89767.44027962303
0.0004923882631706741	89267.04010356113
0.0005878016072274912	88897.1791038632
0.000701703828670383	88657.85728052925
0.0008376776400682924	88483.8050453773
0.001	88375.02239840732
0.001193776641714437	88287.99628083134
0.0014251026703029992	88244.48322204336
0.0017012542798525892	88200.97016325538
0.002030917620904737	88200.97016325538
0.0024244620170823282	88157.45710446738
0.0028942661247167516	88157.45710446738
0.003455107294592222	88135.7005750734
0.004124626382901352	88135.7005750734
0.004923882631706742	88135.7005750734
0.0058780160722749115	88135.7005750734
0.00701703828670383	88135.7005750734
0.008376776400682925	88135.7005750734
0.01	88135.7005750734
