t stim (m)	Ithr (A)
1e-05	nan
1.3433993325988988e-05	nan
1.80472176682717e-05	nan
2.424462017082331e-05	498925.89155646646
3.257020655659783e-05	294212.5453514491
4.37547937507418e-05	194539.17116151296
5.878016072274912e-05	141376.31145616848
7.896522868499733e-05	112223.38681228083
0.00010608183551394483	102272.82001149078
0.00014251026703029977	96235.39745820247
0.00019144819761699575	91064.45684543235
0.00025719138090593444	88604.76617557414
0.0003455107294592218	87374.92084064503
