t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	527223.258080572
2.8942661247167517e-05	368039.59668765
3.455107294592218e-05	238678.66504474013
4.124626382901348e-05	192685.81883936428
4.9238826317067415e-05	147467.5889911315
5.878016072274912e-05	130232.37504469592
7.017038286703837e-05	114594.80733486812
8.376776400682924e-05	104718.44878129265
0.0001	101813.63744200575
0.00011937766417144369	96439.73646432502
0.00014251026703029993	92857.13581253785
0.00017012542798525892	90630.11378575122
0.0002030917620904735	89177.70811610777
0.00024244620170823283	88209.43766967881
0.0002894266124716752	87531.64835717854
0.0003455107294592218	87047.51313396404
0.0004124626382901352	86757.03200003535
0.0004923882631706741	86514.96438842811
0.0005878016072274912	86369.72382146376
0.000701703828670383	86272.89677682087
0.0008376776400682924	86272.89677682087
0.001	86176.06973217797
0.001193776641714437	86127.65620985653
0.0014251026703029992	86127.65620985653
0.0017012542798525892	86127.65620985653
0.002030917620904737	86079.24268753506
0.0024244620170823282	86079.24268753506
0.0028942661247167516	86079.24268753506
0.003455107294592222	86079.24268753506
0.004124626382901352	86079.24268753506
0.004923882631706742	86079.24268753506
0.0058780160722749115	86079.24268753506
0.00701703828670383	86079.24268753506
0.008376776400682925	86079.24268753506
0.01	86079.24268753506
