t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	345615.35135718435
6.158482110660267e-05	126549.73083732737
0.00011288378916846884	100092.41335354793
0.00020691380811147902	93677.78468639191
0.000379269019073225	92152.79749382273
0.0006951927961775605	91741.2930132882
0.0012742749857031334	91596.05613780541
0.002335721469090121	91571.84999189162
0.004281332398719391	91571.84999189162
0.007847599703514606	91571.84999189162
0.01438449888287663	91571.84999189162
0.026366508987303583	91571.84999189162
0.04832930238571752	91571.84999189162
0.08858667904100823	91571.84999189162
0.1623776739188721	91571.84999189162
0.2976351441631319	91571.84999189162
0.5455594781168515	91571.84999189162
1.0	91571.84999189162
