t stim (m)	Ithr (A)
1e-05	nan
1.2663801734674022e-05	nan
1.603718743751331e-05	nan
2.0309176209047348e-05	nan
2.571913809059347e-05	nan
3.257020655659783e-05	nan
4.124626382901348e-05	nan
5.2233450742668436e-05	nan
6.614740641230145e-05	nan
8.376776400682924e-05	nan
0.00010608183551394483	nan
0.00013433993325989	nan
0.00017012542798525892	nan
0.00021544346900318823	nan
0.00027283333764867697	nan
0.0003455107294592218	nan
0.0004375479375074184	nan
0.0005541020330009492	nan
0.0007017038286703822	nan
0.0008886238162743407	nan
0.0011253355826007646	433137.181352138
0.0014251026703029977	235416.19048843798
0.0018047217668271701	135893.44629297702
0.0022854638641349907	85774.4598628966
0.0028942661247167516	59734.83847771214
0.003665241237079626	45562.71493643674
0.004641588833612777	36847.521207316
0.0058780160722749115	33006.478378372194
0.0074438030132516885	30701.852681005923
0.009426684551178854	29774.704411950523
0.011937766417144358	29138.945598883973
0.015117750706156615	28238.287280373013
0.019144819761699575	27496.56866512869
0.024244620170823284	27178.689258595405
0.0307029062975785	26781.34000042881
0.03888155180308085	26542.930445528844
0.049238826317067365	26331.010841173327
0.062355073412739125	26225.051038995567
0.07896522868499725	26145.581187362248
0.1	26119.091236817807
