t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	286068.23240924533
0.002335721469090121	70778.77065194055
0.004281332398719391	34929.46855360814
0.007847599703514606	30160.85780859026
0.01438449888287663	28030.71696817618
0.026366508987303583	26868.821964313956
0.04832930238571752	26336.286754210436
0.08858667904100823	26191.04987872766
0.1623776739188721	26142.637586900066
0.2976351441631319	26142.637586900066
0.5455594781168515	26142.637586900066
1.0	26142.637586900066
