tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	nan
0.002335721469090121	216064.45312499988
0.004281332398719391	74340.82031249997
0.007847599703514606	43139.64843749997
0.01438449888287663	33764.648437499985
0.026366508987303583	30175.781249999985
0.04832930238571752	28124.999999999985
0.08858667904100823	27099.609374999985
0.1623776739188721	26733.398437499985
0.2976351441631319	26513.671874999985
0.5455594781168515	26440.429687499985
1.0	26440.429687499985
