PRF (Hz)	FR
10.0	9.999997065271033
10.983158445338924	10.983159134801042
12.062976943541976	12.062970334004767
13.248958709339178	13.248964266802803
14.55154127404253	14.551540194986407
15.982188343669815	15.982199331396995
17.553490688177444	17.55350836374426
19.27927694970343	19.2792877697913
21.174735345016327	21.17475357194903
23.256547333243272	23.256571690852812
25.54303442525353	25.54301698877941
28.05431942673062	28.054274864092196
30.81250353399323	30.81245145004888
33.841860841141305	33.84180758338609
37.1690519703366	37.16915767598957
40.82335870532436	40.82330940098431
44.836941693148376	44.83696394453109
49.24512348202713	49.24502809954032
54.08669938633847	54.086573094622516
59.404278914557075	59.40436559109386
65.2446607649687	65.24435457255558
71.65924468940388	71.65898780694319
78.70448384970351	78.70439688899992
86.44238164799117	86.44219069370013
94.94103740323447	94.94104508838454
104.27524567645735	104.27576326367767
114.5271545191173	114.52729487579906
125.786988437728	125.78672613196791
138.15384243735826	138.15384985331335
151.73655413218938	151.73669219400009
166.6546615983582	166.6536525299866
183.03945539891095	183.03845484599432
201.03513403947872	201.03507879698444
220.80007302355423	220.7993552998329
242.50821867601	242.51061676391973
266.35061900155193	266.3492669711426
292.53710505081466	292.52630011311135
321.2981375913854	321.2827713957956
352.88683533584907	352.8623324125638
387.5812025767859	387.5271895271245
425.6865758335845	425.5999650473455
467.538311043404	467.3754022345767
513.5047349455857	513.2423746832472
563.9903866339139	563.5554932755992
619.439577804824	618.72436384393
680.3403030344227	679.0935181424085
747.228534497696	745.0783626897417
820.6929389266602	816.9460577878933
901.3800583202366	892.7995889572651
990.0000000000005	nan
