PRF (Hz)	FR
280.6434662015216	280.64092179578097
308.2983938523663	308.28685294572426
338.67846965550854	338.67095023382245
372.05223282196096	372.02671002948813
408.71468472325796	408.68974946549037
448.98989650297267	448.94504132951676
493.23387364525075	493.1378289569666
541.8377028212013	541.6783343328958
595.2310088291173	594.9844791808123
653.8857521855449	653.451826062854
718.3204009353021	717.6432566579521
789.1045135564275	788.0268899115871
866.8637734698146	865.2911666226578
952.2855196551743	949.9013938768159
1046.1248222602105	1042.6364511933325
1149.2111569072633	1144.0182880408174
1262.4557366937481	1254.4779367513495
1386.8595666962945	1375.1712600220246
1523.5222921749175	1505.590125006248
1673.651918689335	1644.0530651851411
1838.575490046652	1599.2492016974638
2019.7508184661817	1355.9891238316081
2218.7793706481452	1219.5131922897183
2437.420423650249	1190.0163538714273
2677.6066157005434	1301.7124134731928
2941.4610294051163	1416.0556056234636
3231.3159583545953	1521.6219703302559
3549.7335230134786	1238.3183839363132
3899.528318122746	1197.601233784285
4283.792291803384	1064.2683948907475
4705.922076275185	617.0912399404896
5169.6490117758085	1110.8968791106872
5679.0721290710435	1207.3076594204147
6238.694382099425	1233.0504248002621
6853.46245102286	985.8860218039247
7528.810467515511	nan
8270.708048792365	nan
9085.713064966054	nan
9981.029606159089	nan
10964.571661761624	nan
12045.033074716048	nan
13231.964389176492	nan
14535.857270824634	nan
15968.23724605983	nan
17541.765579814848	nan
19270.35119252783	nan
21169.27360554085	nan
23255.318001677897	nan
25546.923594847034	nan
28064.34662015219	nan
