tau_m (s)	tau_ax (s)	rmse (mV)
1e-07	1e-07	18.713898058241146
1e-07	1.832980710832437e-07	18.68968148881916
1e-07	3.359818286283781e-07	18.65696434548716
1e-07	6.158482110660267e-07	18.62317978991884
1e-07	1.1288378916846883e-06	18.595272923590766
1e-07	2.06913808111479e-06	18.5756610091911
1e-07	3.792690190732254e-06	18.563255491673946
1e-07	6.951927961775606e-06	18.560567087813087
1e-07	1.274274985703132e-05	18.558941519581552
1e-07	2.335721469090121e-05	18.558114138132762
1e-07	4.281332398719396e-05	18.557636673983584
1e-07	7.847599703514605e-05	18.557367931139364
1e-07	0.0001438449888287663	18.55722363761463
1e-07	0.00026366508987303583	18.55714480694685
1e-07	0.00048329302385717517	18.557101605396184
1e-07	0.0008858667904100822	18.557076950556983
1e-07	0.001623776739188721	18.557064611671244
1e-07	0.002976351441631319	18.557058157138158
1e-07	0.005455594781168515	18.55705433301362
1e-07	0.01	18.55705224536982
1.832980710832437e-07	1e-07	16.55857973358984
1.832980710832437e-07	1.832980710832437e-07	16.52122563662448
1.832980710832437e-07	3.359818286283781e-07	16.4560315210445
1.832980710832437e-07	6.158482110660267e-07	16.371683761379334
1.832980710832437e-07	1.1288378916846883e-06	16.288620212512164
1.832980710832437e-07	2.06913808111479e-06	16.222707709338493
1.832980710832437e-07	3.792690190732254e-06	16.177704784027526
1.832980710832437e-07	6.951927961775606e-06	16.15628401334617
1.832980710832437e-07	1.274274985703132e-05	16.143491630799094
1.832980710832437e-07	2.335721469090121e-05	16.136310976055814
1.832980710832437e-07	4.281332398719396e-05	16.132265813173746
1.832980710832437e-07	7.847599703514605e-05	16.13002370235051
1.832980710832437e-07	0.0001438449888287663	16.128792564091054
1.832980710832437e-07	0.00026366508987303583	16.128119604686034
1.832980710832437e-07	0.00048329302385717517	16.12775018605774
1.832980710832437e-07	0.0008858667904100822	16.127548997635365
1.832980710832437e-07	0.001623776739188721	16.127439893687075
1.832980710832437e-07	0.002976351441631319	16.12737925555264
1.832980710832437e-07	0.005455594781168515	16.127346553529467
1.832980710832437e-07	0.01	16.127328710662947
3.359818286283781e-07	1e-07	12.571965196742426
3.359818286283781e-07	1.832980710832437e-07	12.5278626369205
3.359818286283781e-07	3.359818286283781e-07	12.427162078093072
3.359818286283781e-07	6.158482110660267e-07	12.261582100177135
3.359818286283781e-07	1.1288378916846883e-06	12.063444773994474
3.359818286283781e-07	2.06913808111479e-06	11.883872959656355
3.359818286283781e-07	3.792690190732254e-06	11.751447782985187
3.359818286283781e-07	6.951927961775606e-06	11.673546065467761
3.359818286283781e-07	1.274274985703132e-05	11.626573408706994
3.359818286283781e-07	2.335721469090121e-05	11.599698546432377
3.359818286283781e-07	4.281332398719396e-05	11.584576259855487
3.359818286283781e-07	7.847599703514605e-05	11.576189446378427
3.359818286283781e-07	0.0001438449888287663	11.571577361852164
3.359818286283781e-07	0.00026366508987303583	11.569051243414235
3.359818286283781e-07	0.00048329302385717517	11.567668988816829
3.359818286283781e-07	0.0008858667904100822	11.56691387108882
3.359818286283781e-07	0.001623776739188721	11.566502095965669
3.359818286283781e-07	0.002976351441631319	11.566276629881367
3.359818286283781e-07	0.005455594781168515	11.566153853700115
3.359818286283781e-07	0.01	11.566086863742044
6.158482110660267e-07	1e-07	8.096929494656246
6.158482110660267e-07	1.832980710832437e-07	8.042597672394074
6.158482110660267e-07	3.359818286283781e-07	7.891830368067822
6.158482110660267e-07	6.158482110660267e-07	7.592532405698769
6.158482110660267e-07	1.1288378916846883e-06	7.180282564505037
6.158482110660267e-07	2.06913808111479e-06	6.783111060144329
6.158482110660267e-07	3.792690190732254e-06	6.490528118523698
6.158482110660267e-07	6.951927961775606e-06	6.3119941963261335
6.158482110660267e-07	1.274274985703132e-05	6.208993214822272
6.158482110660267e-07	2.335721469090121e-05	6.15161734042617
6.158482110660267e-07	4.281332398719396e-05	6.119938978661858
6.158482110660267e-07	7.847599703514605e-05	6.102574161286143
6.158482110660267e-07	0.0001438449888287663	6.093076860310032
6.158482110660267e-07	0.00026366508987303583	6.087891005522398
6.158482110660267e-07	0.00048329302385717517	6.085059650660434
6.158482110660267e-07	0.0008858667904100822	6.083514485473494
6.158482110660267e-07	0.001623776739188721	6.0826718392694605
6.158482110660267e-07	0.002976351441631319	6.082211395899848
6.158482110660267e-07	0.005455594781168515	6.081960426370282
6.158482110660267e-07	0.01	6.081823503402238
1.1288378916846883e-06	1e-07	5.3335766288531525
1.1288378916846883e-06	1.832980710832437e-07	5.25847041733022
1.1288378916846883e-06	3.359818286283781e-07	5.0396811238697214
1.1288378916846883e-06	6.158482110660267e-07	4.570065072359091
1.1288378916846883e-06	1.1288378916846883e-06	3.8991313792745044
1.1288378916846883e-06	2.06913808111479e-06	3.2794739476903634
1.1288378916846883e-06	3.792690190732254e-06	2.8645128827032087
1.1288378916846883e-06	6.951927961775606e-06	2.6201518346816486
1.1288378916846883e-06	1.274274985703132e-05	2.4963449233292216
1.1288378916846883e-06	2.335721469090121e-05	2.433129243906412
1.1288378916846883e-06	4.281332398719396e-05	2.4000574781293667
1.1288378916846883e-06	7.847599703514605e-05	2.3824860414730566
1.1288378916846883e-06	0.0001438449888287663	2.3730582663960003
1.1288378916846883e-06	0.00026366508987303583	2.3679596301627965
1.1288378916846883e-06	0.00048329302385717517	2.365211355092148
1.1288378916846883e-06	0.0008858667904100822	2.3636969735710416
1.1288378916846883e-06	0.001623776739188721	2.362877381424068
1.1288378916846883e-06	0.002976351441631319	2.362429735107122
1.1288378916846883e-06	0.005455594781168515	2.3621859423229004
1.1288378916846883e-06	0.01	2.3620529720765457
2.06913808111479e-06	1e-07	4.280402724102276
2.06913808111479e-06	1.832980710832437e-07	4.185170640121245
2.06913808111479e-06	3.359818286283781e-07	3.9068777310663294
2.06913808111479e-06	6.158482110660267e-07	3.2943895431128967
2.06913808111479e-06	1.1288378916846883e-06	2.42829235749452
2.06913808111479e-06	2.06913808111479e-06	1.687980630003646
2.06913808111479e-06	3.792690190732254e-06	1.2494472542388937
2.06913808111479e-06	6.951927961775606e-06	0.980597730176172
2.06913808111479e-06	1.274274985703132e-05	0.8702771151741256
2.06913808111479e-06	2.335721469090121e-05	0.8217137611539839
2.06913808111479e-06	4.281332398719396e-05	0.7986155779439095
2.06913808111479e-06	7.847599703514605e-05	0.7869627993848456
2.06913808111479e-06	0.0001438449888287663	0.7809004813400183
2.06913808111479e-06	0.00026366508987303583	0.7776796214423422
2.06913808111479e-06	0.00048329302385717517	0.7759530066312069
2.06913808111479e-06	0.0008858667904100822	0.7750243208108772
2.06913808111479e-06	0.001623776739188721	0.7744977084886981
2.06913808111479e-06	0.002976351441631319	0.7742228860450691
2.06913808111479e-06	0.005455594781168515	0.7740709072228068
2.06913808111479e-06	0.01	0.7739884749340415
3.792690190732254e-06	1e-07	4.04968903970495
3.792690190732254e-06	1.832980710832437e-07	3.94053359542444
3.792690190732254e-06	3.359818286283781e-07	3.6216545148217807
3.792690190732254e-06	6.158482110660267e-07	2.9135342856345927
3.792690190732254e-06	1.1288378916846883e-06	1.9303243559822336
3.792690190732254e-06	2.06913808111479e-06	1.1459486662289609
3.792690190732254e-06	3.792690190732254e-06	0.7294678905641009
3.792690190732254e-06	6.951927961775606e-06	0.4128882968601881
3.792690190732254e-06	1.274274985703132e-05	0.3071214721155293
3.792690190732254e-06	2.335721469090121e-05	0.2693245970947722
3.792690190732254e-06	4.281332398719396e-05	0.2535536451612936
3.792690190732254e-06	7.847599703514605e-05	0.2459490945748255
3.792690190732254e-06	0.0001438449888287663	0.2420268037161213
3.792690190732254e-06	0.00026366508987303583	0.23994487114798524
3.792690190732254e-06	0.00048329302385717517	0.23882359360495484
3.792690190732254e-06	0.0008858667904100822	0.23821617951042
3.792690190732254e-06	0.001623776739188721	0.23788608455944396
3.792690190732254e-06	0.002976351441631319	0.2377067915590879
3.792690190732254e-06	0.005455594781168515	0.2376289358273564
3.792690190732254e-06	0.01	0.2375555644986144
6.951927961775606e-06	1e-07	3.849670968128128
6.951927961775606e-06	1.832980710832437e-07	3.732588012401245
6.951927961775606e-06	3.359818286283781e-07	3.3917314405952577
6.951927961775606e-06	6.158482110660267e-07	2.6332931653597105
6.951927961775606e-06	1.1288378916846883e-06	1.5966322264338029
6.951927961775606e-06	2.06913808111479e-06	0.8094887698376276
6.951927961775606e-06	3.792690190732254e-06	0.4245453047483853
6.951927961775606e-06	6.951927961775606e-06	0.27198483710919924
6.951927961775606e-06	1.274274985703132e-05	0.14305005558725428
6.951927961775606e-06	2.335721469090121e-05	0.10171376980147416
6.951927961775606e-06	4.281332398719396e-05	0.08705801661207581
6.951927961775606e-06	7.847599703514605e-05	0.08005909886920627
6.951927961775606e-06	0.0001438449888287663	0.07619480652014922
6.951927961775606e-06	0.00026366508987303583	0.07402540366381491
6.951927961775606e-06	0.00048329302385717517	0.07280894055656764
6.951927961775606e-06	0.0008858667904100822	0.07213311136986339
6.951927961775606e-06	0.001623776739188721	0.07176967460515055
6.951927961775606e-06	0.002976351441631319	0.07156753086450435
6.951927961775606e-06	0.005455594781168515	0.07145562971277307
6.951927961775606e-06	0.01	0.07139446728805668
