duty cycle (-)	amplitude (Pa)	normalized firing rate (-)
0.0	10000.0	
0.0	11106.919438024492	
0.0	12336.365940276655	
0.0	13701.902265664208	
0.0	15218.592461241791	
0.0	16903.168042713947	
0.0	18774.21256978144	
0.0	20852.366652490917	
0.0	23160.555650136557	
0.0	25724.24257459497	
0.0	28571.708988022667	
0.0	31734.366993664804	
0.0	35247.10576153392	
0.0	39148.67641168862	
0.0	43482.11950099161	
0.0	48295.23982920676	
0.0	53641.13380230722	
0.0	59578.775170651876	
0.0	66173.66560366057	
0.0	73498.55727786303	
0.0	81634.25544962553	
0.0	90670.50986621024	
0.0	100707.0048488604	
0.0	111854.45897010346	
0.0	124235.84645647575	
0.0	137987.75379068567	
0.0	153261.88647871045	
0.0	170226.74260386958	
0.0	189069.4716298515	
0.0	209997.93895826172	
0.0	233243.01901605987	
0.0	259061.14216929968	
0.0	287737.1235597027	
0.0	319587.3050706517	
0.0	354963.04508350854	
0.0	394254.5945218393	
0.0	437895.401942509	
0.0	486366.8951656802	
0.0	540203.7921927313	
0.0	600000.0000000003	
0.02564102564102564	10000.0	
0.02564102564102564	11106.919438024492	
0.02564102564102564	12336.365940276655	
0.02564102564102564	13701.902265664208	
0.02564102564102564	15218.592461241791	
0.02564102564102564	16903.168042713947	
0.02564102564102564	18774.21256978144	
0.02564102564102564	20852.366652490917	
0.02564102564102564	23160.555650136557	
0.02564102564102564	25724.24257459497	
0.02564102564102564	28571.708988022667	
0.02564102564102564	31734.366993664804	
0.02564102564102564	35247.10576153392	
0.02564102564102564	39148.67641168862	
0.02564102564102564	43482.11950099161	
0.02564102564102564	48295.23982920676	
0.02564102564102564	53641.13380230722	
0.02564102564102564	59578.775170651876	
0.02564102564102564	66173.66560366057	
0.02564102564102564	73498.55727786303	
0.02564102564102564	81634.25544962553	
0.02564102564102564	90670.50986621024	
0.02564102564102564	100707.0048488604	
0.02564102564102564	111854.45897010346	0.9997232388231754
0.02564102564102564	124235.84645647575	0.9996841731570976
0.02564102564102564	137987.75379068567	0.9997690908321708
0.02564102564102564	153261.88647871045	0.9997755046944358
0.02564102564102564	170226.74260386958	0.9997128492848282
0.02564102564102564	189069.4716298515	0.9997987125637944
0.02564102564102564	209997.93895826172	0.9997260653281702
0.02564102564102564	233243.01901605987	0.9997059789962328
0.02564102564102564	259061.14216929968	0.9997504947209074
0.02564102564102564	287737.1235597027	0.99973870019236
0.02564102564102564	319587.3050706517	0.9998360102483744
0.02564102564102564	354963.04508350854	0.9998185759664971
0.02564102564102564	394254.5945218393	0.9998051855888148
0.02564102564102564	437895.401942509	0.9997942421672514
0.02564102564102564	486366.8951656802	0.9998003129450552
0.02564102564102564	540203.7921927313	0.9997763441408613
0.02564102564102564	600000.0000000003	0.9998176185943326
0.05128205128205128	10000.0	
