tstim (s)	Vext (mV)
1e-05	-93.125
1.8329807108324375e-05	-59.375
3.359818286283781e-05	-41.25
6.158482110660267e-05	-31.25
0.00011288378916846884	-25.625
0.00020691380811147902	-22.8125
0.000379269019073225	-21.5625
0.0006951927961775605	-21.40625
0.0012742749857031334	-21.40625
0.002335721469090121	-21.40625
0.004281332398719391	-21.40625
0.007847599703514606	-21.40625
0.01438449888287663	-21.40625
0.026366508987303583	-21.40625
0.04832930238571752	-21.40625
0.08858667904100823	-21.40625
0.1623776739188721	-21.40625
0.2976351441631319	-21.40625
0.5455594781168515	-21.40625
1.0	-21.40625
