tstim (s)	A (Pa)

1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	nan
0.002335721469090121	569326.1718749997
0.004281332398719391	68261.71874999997
0.007847599703514606	42011.718749999985
0.01438449888287663	35156.249999999985
0.026366508987303583	31757.812499999985
0.04832930238571752	29941.406249999985
0.08858667904100823	29179.687499999985
0.1623776739188721	28886.718749999985
0.2976351441631319	28769.531249999985
0.5455594781168515	28769.531249999985
1.0	28769.531249999985
