tstim (s)	Vext (mV)
1e-05	-100000.0
1.8329807108324375e-05	-54559.66796875
3.359818286283781e-05	-29780.0
6.158482110660267e-05	-16255.0
0.00011288378916846884	-8880.0
0.00020691380811147902	-4860.0
0.000379269019073225	-2670.0
0.0006951927961775605	-1475.0
0.0012742749857031334	-825.0
0.002335721469090121	-470.0
0.004281332398719391	-277.5
0.007847599703514606	-172.5
0.01438449888287663	-115.625
0.026366508987303583	-86.875
0.04832930238571752	-72.5
0.08858667904100823	-66.25
0.1623776739188721	-63.75
0.2976351441631319	-63.125
0.5455594781168515	-62.5
1.0	-62.5
