tstim (s)	Vext (mV)

1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	-67301.69921875
6.158482110660267e-05	-36745.0
0.00011288378916846884	-20070.0
0.00020691380811147902	-10975.0
0.000379269019073225	-6025.0
0.0006951927961775605	-3320.0
0.0012742749857031334	-1850.0
0.002335721469090121	-1045.0
0.004281332398719391	-610.0
0.007847599703514606	-372.5
0.01438449888287663	-245.0
0.026366508987303583	-177.5
0.04832930238571752	-145.0
0.08858667904100823	-130.0
0.1623776739188721	-125.0
0.2976351441631319	-123.125
0.5455594781168515	-122.5
1.0	-122.5
